imo,name,ship_type,build_year,gross_tonnage,DWT
9387152,OCEAN WAVE,Oil Products Tanker,2007,4535,7691
9387255,AZURE,Crude Oil Tanker,2008,59671,110448
9387279,ETHERA,Chemical/Oil Products Tanker,2008,29605,46606
9387762,GALVIN,LPG Tanker,2009,47266,58551
9388027,MANASLU,Chemical/Oil Products Tanker,2008,29605,46549
9388742,FONDEYA,Crude Oil Tanker,2008,62863,108817
9388754,TRADER,Crude Oil Tanker,2008,62863,108770
9388766,DESTAN,crude oil tanker,2008,62863,108912
9388780,BAI LU,Crude Oil Tanker,2009,62863,108940
9388792,UNITY,Crude Oil Tanker,2009,62863,108929
9389095,MINION,Crude Oil Tanker,2009,58667,106741
9389100,SMYRTOS,Crude Oil Tanker,2009,58667,106969
9389679,LIETO,Crude Oil Tanker,2008,62775,113005
9392822,LOTUS,Crude Oil Tanker,2008,59258,115146
9394935,OZANNO,Crude Oil Tanker,2008,62775,112969
9395379,FORTIS,Crude Oil Tanker,2008,56355,105905
9396725,SAN REMO,Chemical/Oil Products Tanker,2008,30040,50760
9397030,HARMONY,Oil Products Tanker,2007,6601,11479
9397080,SIA,LPG Tanker,2010,46025,49999
9397535,JUPITER,Chemical/Oil Products Tanker,2009,29967,50975
9397547,ARIADNE,Chemical/Oil Products Tanker,2008,29967,50973
9397559,ARIA,Chemical/Oil Products Tanker,2008,29967,50956
9397676,NASIMI,Oil Products Tanker,2006,7833,13030
9398278,MT GUNUNG GEULIS,Crude Oil Tanker,2009,60380,107538
9399167,ECLIPSE WIND,Chemical/Oil Products Tanker,2007,5256,8864
9400980,OMNI,Crude Oil Tanker,2008,55894,105380
9402469,FREDA,Crude Oil Tanker,2009,63294,115459
9402471,DEVIKA,Crude Oil Tanker,2009,63294,115605
9402732,JEWEL 1,Crude Oil Tanker,2008,164680,318068
9404572,FOSHAN,Chemical/Oil Products Tanker,2007,5312,9045
9404948,THRON,Crude Oil Tanker,2009,58614,105272
9405057,JUN TONG,Crude Oil Tanker,2008,62856,115406
9405617,MT M3S X,Bitumen Tanker,2008,2063,2888
9408205,FAST KATHY,Crude Oil Tanker,2010,83805,156760
9408530,EVITA,Crude Oil Tanker,2008,62856,115462
9408695,TASSOS,Crude Oil Tanker,2009,83562,156436
9408798,MALED,Chemical/Oil Products Tanker,2008,12105,20866
9409259,SPIRIT 2,Crude Oil Tanker,2008,62775,113091
9409467,PRAVASI,Oil Products Tanker,2008,40975,74994
9410234,CARINA I,Crude Oil Tanker,2009,160502,318325
9410387,JAYA,Crude Oil Tanker,2008,160160,310084
9410870,ROWAN,Crude Oil Tanker,2008,62775,113010
9410894,VALOUR,Crude Oil Tanker,2009,62775,113043
9411020,BRATSK,Crude Oil Tanker,2009,83747,156572
9411288,M.T VELA,Chemical/Oil Products Tanker,2007,5256,9040
9411331,CANARA,Crude Oil Tanker,2009,81347,158033
9412335,BOND,Crude Oil Tanker,2010,83747,156697
9412347,LYNX,Crude Oil Tanker,2011,83747,156630
