IMO,Name of ship,Gross tonnage,Type of ship,Vessel Size,Year of build,Controller,Flag,Class,Last Survey,Russian lifter,Iran Linked?,Re Classed in 2022,Transacted in 2022,Suspicious
9224439,AMOROZA,81085,Crude Oil Tanker,Suezmax,2001,Sea Pioneer Shipping,Cyprus (CYP),RINA,3/8/2022,, , ,YES,
9388314,BOW LIND,26351,Chemical/Oil Products Tanker,MR,2011,ODFJELL,Norway (NIS) (NIS),LRS,13/5/2016,, , ,,
9224441,BEAR ALCOR,81085,Crude Oil Tanker,Suezmax,2002,SOVCOMFLOT,Liberia (LBR),NV,9/5/2017,, , ,,
9753791,BOW AQUARIUS,26364,Chemical/Oil Products Tanker,MR,2016,ODFJELL,Norway (NIS) (NIS),LRS,27/6/2016,, , ,,
9752010,BOW CAPRICORN,26364,Chemical/Oil Products Tanker,MR,2016,ODFJELL,Norway (NIS) (NIS),ABS,18/10/2016,, , ,,
9752034,BOW GEMINI,26364,Chemical/Oil Products Tanker,MR,2017,ODFJELL,Norway (NIS) (NIS),ABS,16/1/2017,, , ,,
9752046,BOW HERCULES,26364,Chemical/Oil Products Tanker,MR,2017,ODFJELL,Norway (NIS) (NIS),ABS,18/7/2017,, , ,,
9752022,SC DRACO,26364,Chemical/Oil Products Tanker,MR,2016,SINOCHEM,"Hong Kong, China (HKG)",ABS,13/12/2016,, , ,,
9801079,SC SCORPIO,26364,Chemical/Oil Products Tanker,MR,2017,SINOCHEM,"Hong Kong, China (HKG)",CCS,15/8/2017,, , ,,
9224465,BEAR MIZAR,81085,Crude Oil Tanker,Suezmax,2002,SOVCOMFLOT,Liberia (LBR),NV,10/9/2017,, , ,,
9801081,SC TAURUS,26364,Chemical/Oil Products Tanker,MR,2017,SINOCHEM,"Hong Kong, China (HKG)",CCS,18/10/2017,, , ,,
9801093,SC VIRGO,26364,Chemical/Oil Products Tanker,MR,2018,SINOCHEM,"Hong Kong, China (HKG)",CCS,15/1/2018,, , ,,
9861483,IN ECKER,26371,Chemical/Oil Products Tanker,MR,2019,HYPROC,Algeria (DZA),BV,27/12/2019,, , ,,
9392327,CARONI PLAIN,26471,Chemical/Oil Products Tanker,MR,2008,PROMAN SHIPPING,"Hong Kong, China (HKG)",NKK,12/12/2018,, , ,,
9224453,MARS A,81085,Crude Oil Tanker,Suezmax,2002,UNKNOWN,Palau (Republic of) (PLW),IRS,22/11/2020,, , ,,
9231509,TREND,81085,Crude Oil Tanker,Suezmax,2002,SMART RABBIT SHIPPING LTD,Belize (BLZ),NV,31/7/2017,,YES, ,YES,YES
9187227,SPIRIT,81093,Crude Oil Tanker,Suezmax,2000,UNKNOWN,Cameroon (CMR),#N/A,#N/A,YES, , ,,
9889942,KANARIS 21,81110,Crude Oil Tanker,Suezmax,2021,Equinor,Malta (MLT),ABS,27/1/2021,, , ,,
9889954,LORD BYRON 21,81110,Crude Oil Tanker,Suezmax,2021,MERCURIA,Malta (MLT),ABS,14/4/2021,, , ,,
9248447,GRENA KNUTSEN,81141,Crude Oil Tanker,Suezmax,2003,BLUE LAGOON COMMERCIAL ENT,Bahamas (BHS),NV,12/12/2018,YES, , ,YES,YES
9185528,LIMO,81151,Crude Oil Tanker,Suezmax,2000,UNKNOWN,Cameroon (CMR),#N/A,#N/A,, , ,,
9185530,SPAR,81151,Crude Oil Tanker,Suezmax,2000,DAKAI SHIPPING LTD,Panama (PAN),BV,4/12/2017,,YES, ,,YES
9601235,DELTA BLUE,81186,Crude Oil Tanker,Suezmax,2012,DELTA,Liberia (LBR),ABS,21/2/2017,, ,YES,,YES
9601223,SEAMAJESTY,81186,Crude Oil Tanker,Suezmax,2012,Golden Stena Bulk,Malta (MLT),ABS,13/3/2017,, , ,,
